iter	Logloss
0	0.6823215898
1	0.6728047615
2	0.6642266673
3	0.6567248485
4	0.649997786
5	0.6449409596
6	0.6397258308
7	0.6360349001
8	0.6323820338
9	0.6288968457
10	0.6261005638
11	0.6237371566
12	0.6223205563
13	0.6206626768
14	0.6185901077
15	0.616877757
16	0.6164088251
17	0.6150599708
18	0.6137298366
19	0.6126855279
20	0.6114922684
21	0.6106723266
22	0.6095533087
23	0.6086981667
24	0.6079266728
25	0.6076393099
26	0.6073634245
27	0.6070547956
28	0.6063641302
29	0.6056512827
30	0.6056451386
31	0.6050856007
32	0.6045369435
33	0.6041164846
34	0.6037569386
35	0.6033933187
36	0.6030865423
37	0.6027362243
38	0.6025499669
39	0.6022464516
40	0.6020194639
41	0.6017698452
42	0.6013165813
43	0.601148442
44	0.6009128541
45	0.6006910359
46	0.6005529765
47	0.6005416345
48	0.6004655878
49	0.6004644622
50	0.6001583203
51	0.6000119284
52	0.5997930474
53	0.5995593019
54	0.599351765
55	0.5991922903
56	0.5991172742
57	0.5989546994
58	0.598790605
59	0.5985354314
60	0.5983602919
61	0.5982612221
62	0.5981385314
63	0.5980185916
64	0.5977276309
65	0.5976063379
66	0.5975461399
67	0.5975459696
68	0.5974799121
69	0.5972380887
70	0.5970832788
71	0.5969649614
72	0.5968105333
73	0.5966728451
74	0.5966646488
75	0.5965699765
76	0.5963631754
77	0.5962616142
78	0.5961190676
79	0.5961080193
80	0.595792815
81	0.5957263568
82	0.5956385814
83	0.5955768537
84	0.5953933198
85	0.5953031008
86	0.5952802484
87	0.595130864
88	0.5950263187
89	0.594958199
90	0.594901462
91	0.5948328749
92	0.5948070806
93	0.5946463912
94	0.5945224933
95	0.5944631961
96	0.5943887433
97	0.5943388115
98	0.5941904721
99	0.5941030607
100	0.5940146879
101	0.593888619
102	0.5937173226
103	0.5935985766
104	0.5935419769
105	0.5934616408
106	0.5932847122
107	0.5931121018
108	0.5930341767
109	0.5929546984
110	0.592892472
111	0.5927812847
112	0.5927219951
113	0.592454851
114	0.5923891774
115	0.5923097749
116	0.5923097726
117	0.592188719
118	0.5921218679
119	0.592051692
120	0.5919638952
121	0.5918841569
122	0.5918354456
123	0.5918210008
124	0.5916873574
125	0.5916873567
126	0.5916588515
127	0.5916271043
128	0.5915875207
129	0.5915454248
130	0.5915454245
131	0.591490108
132	0.5914505102
133	0.5912920429
134	0.5911353983
135	0.5910798156
136	0.5909537933
137	0.5907879373
138	0.5906822008
139	0.5906304691
140	0.5905820362
141	0.5904015801
142	0.5902954607
143	0.5902136891
144	0.5901891225
145	0.5901788446
146	0.5901743869
147	0.5901707058
148	0.5901206666
149	0.590080978
150	0.5900381338
151	0.5900377398
152	0.5899823217
153	0.5899481619
154	0.5898105941
155	0.5898037652
156	0.5897392609
157	0.5896859637
158	0.5895792393
159	0.5894902186
160	0.5894488433
161	0.5894146207
162	0.5893345807
163	0.5891482112
164	0.589124124
165	0.5886329696
166	0.5886215529
167	0.5885718211
168	0.5885718207
169	0.5885548384
170	0.5885547785
171	0.5885293871
172	0.588529386
173	0.5885108252
174	0.5880784727
175	0.5880347015
176	0.5879859792
177	0.5879565522
178	0.587956551
179	0.5879109193
180	0.5879108492
181	0.5879108491
182	0.5877580323
183	0.5877438071
184	0.5876363744
185	0.5876015453
186	0.5875078853
187	0.5874661958
188	0.5872971792
189	0.587163975
190	0.5869934149
191	0.5866981778
192	0.5864182182
193	0.5863181328
194	0.5862375421
195	0.5861873887
196	0.5861530357
197	0.5859376715
198	0.5859000723
199	0.585739935
200	0.5855462214
201	0.585335453
202	0.5852148214
203	0.5849965162
204	0.5849862388
205	0.5847999266
