iter	Passed	Remaining
0	19	38185
1	38	38014
2	51	34192
3	69	34528
4	82	32776
5	93	31077
6	103	29503
7	114	28505
8	127	28232
9	140	28006
10	157	28524
11	169	28051
12	179	27453
13	193	27448
14	206	27301
15	221	27422
16	227	26584
17	237	26205
18	251	26232
19	264	26176
20	281	26482
21	296	26688
22	311	26763
23	323	26606
24	336	26560
25	344	26155
26	353	25847
27	363	25581
28	375	25529
29	388	25517
30	394	25053
31	408	25101
32	421	25104
33	432	24980
34	446	25087
35	462	25247
36	477	25309
37	492	25435
38	503	25331
39	517	25340
40	530	25324
41	543	25350
42	557	25365
43	571	25383
44	584	25383
45	601	25541
46	615	25580
47	622	25297
48	633	25214
49	638	24899
50	654	25006
51	669	25082
52	681	25040
53	696	25115
54	712	25187
55	725	25191
56	734	25054
57	749	25099
58	763	25111
59	813	26300
60	834	26514
61	854	26718
62	894	27501
63	957	28962
64	990	29498
65	1013	29710
66	1030	29721
67	1034	29395
68	1047	29310
69	1059	29216
70	1075	29213
71	1091	29238
72	1107	29244
73	1123	29242
74	1130	29010
75	1145	28987
76	1159	28950
77	1174	28940
78	1188	28899
79	1198	28753
80	1211	28691
81	1225	28671
82	1239	28623
83	1252	28578
84	1266	28538
85	1284	28578
86	1296	28499
87	1311	28490
88	1329	28538
89	1339	28417
90	1357	28487
91	1377	28573
92	1390	28519
93	1404	28478
94	1418	28442
95	1433	28438
96	1453	28508
97	1469	28515
98	1484	28497
99	1498	28472
100	1514	28481
101	1533	28525
102	1547	28494
103	1560	28440
104	1576	28455
105	1590	28413
106	1603	28374
107	1615	28309
108	1633	28330
109	1647	28300
110	1664	28327
111	1681	28347
112	1698	28370
113	1713	28351
114	1729	28352
115	1745	28353
116	1750	28173
117	1765	28155
118	1779	28129
119	1797	28154
120	1812	28140
121	1827	28130
122	1840	28091
123	1856	28092
124	1871	28066
125	1876	27905
126	1891	27891
127	1908	27907
128	1927	27954
129	1939	27900
130	1946	27764
131	1958	27715
132	1972	27684
133	1985	27652
134	2002	27661
135	2017	27646
136	2031	27622
137	2052	27688
138	2066	27666
139	2080	27639
140	2094	27611
141	2111	27627
142	2127	27627
143	2141	27605
144	2155	27569
145	2171	27571
146	2181	27503
147	2191	27419
148	2206	27409
149	2220	27390
150	2235	27373
151	2242	27263
152	2255	27229
153	2269	27206
154	2285	27209
155	2294	27125
156	2308	27099
157	2323	27090
158	2337	27063
159	2352	27050
160	2368	27058
161	2383	27047
